median_household_income,median_home_value,median_gross_rent,population,median_year_built_neighborhood,mean_commute_time,zip,vacancy_rate,pct_bachelors_plus,poverty_rate,homeownership_rate
95084.0,339000.0,1341.0,36556.0,1982,16273.0,18951,0.047570986408289606,0.19609339233938655,0.06726665937192253,0.8070646414694455
154989.0,585200.0,1991.0,10864.0,1978,4218.0,18954,0.01128016789087094,0.35676580404274494,0.007455817378497791,0.9848766250994959
82778.0,315500.0,1375.0,1453.0,1981,639.0,18955,0.039548022598870025,0.13544668587896252,0.06469373709566414,0.7450980392156863
103594.0,373300.0,1361.0,12198.0,1982,5389.0,18960,0.06363981762917936,0.2775046432863542,0.047876701098540746,0.7429498884155001
91464.0,345700.0,,450.0,1966,188.0,18962,0.0,0.21406727828746178,0.017777777777777778,0.9461077844311377
94291.0,339700.0,1358.0,14422.0,1973,6184.0,18964,0.051178332747098154,0.2578653922739944,0.0651088614616558,0.6834105653382762
119741.0,466900.0,1840.0,35994.0,1974,15166.0,18966,0.03486160997253329,0.27042573320719016,0.03753403345001945,0.8851430239346176
103818.0,365700.0,1358.0,15229.0,1976,7660.0,18969,0.04127134724857684,0.2299345350192808,0.03296342504432333,0.8080158337456704
95000.0,312900.0,1341.0,733.0,1943,344.0,18970,0.09202453987730064,0.2023121387283237,0.07776261937244201,0.5709459459459459
88525.0,454700.0,1407.0,2944.0,1960,1149.0,18972,0.14105960264900663,0.16369664318276006,0.058423913043478264,0.8311488049344642
99724.0,407300.0,1634.0,42984.0,1974,18915.0,18974,0.030996104618809084,0.24419510674770142,0.0596035734226689,0.7490380750014357
119237.0,502200.0,1643.0,21942.0,1989,8529.0,18976,0.008497208060208816,0.28979412503138335,0.044116306626560936,0.7961557296767875
215313.0,712600.0,,4378.0,1982,1416.0,18977,0.015633724176437713,0.3712190650779102,0.01187756966651439,0.9500850822461713
78917.0,550000.0,,84.0,1938,32.0,18980,0.0,0.12658227848101267,0.03571428571428571,0.5714285714285714
105271.0,343000.0,1355.0,17601.0,1954,7105.0,19001,0.03898840885142252,0.28498210218027986,0.06709846031475485,0.8233082706766918
140070.0,558800.0,1605.0,31681.0,1973,11742.0,19002,0.05552470849528035,0.3807561051278642,0.04523215807581831,0.7965902410346855
116142.0,441400.0,1602.0,14411.0,1942,5737.0,19003,0.026946107784431184,0.3375954009317078,0.05690097841926306,0.6382186234817814
143781.0,616000.0,1791.0,10439.0,1956,3412.0,19004,0.053222546597799236,0.2995169082125604,0.09311236708496982,0.7170303605313093
124302.0,518500.0,1430.0,23211.0,1967,8743.0,19006,0.02738465078817165,0.27737134996560997,0.04657274568092715,0.7484916597657636
66811.0,264800.0,1029.0,22585.0,1954,10175.0,19007,0.04062015503875971,0.15367884663186676,0.11432366615009962,0.5829562594268477
127646.0,469900.0,1633.0,20193.0,1959,8375.0,19008,0.04095421952564815,0.32775734018185604,0.03625018570791859,0.8506110711718189
143986.0,788700.0,1890.0,22004.0,1961,7852.0,19010,0.07875586854460093,0.3094219994102035,0.06621523359389202,0.6537138488979488
117614.0,320600.0,1226.0,6787.0,1953,2861.0,19012,0.03327571305099397,0.20663486556808325,0.04611757772211581,0.8399642378185069
39416.0,85200.0,1083.0,34697.0,1948,11671.0,19013,0.1570480081716037,0.0918391400688322,0.2856154710781912,0.3977582550742199
96440.0,297300.0,1335.0,21242.0,1971,9767.0,19014,0.03412009294362239,0.21252552756977536,0.07536955088974673,0.8594580906558622
84783.0,232800.0,1170.0,16590.0,1965,7900.0,19015,0.03337988826815641,0.17331052181351583,0.0647377938517179,0.7786447045224678
,553600.0,,297.0,1993,129.0,19017,0.0,0.45387453874538747,0.0,0.7075471698113207
73451.0,215400.0,1346.0,23150.0,1956,10185.0,19018,0.052347809038329585,0.19160661297159814,0.11473002159827214,0.6492189924485362
80158.0,344400.0,1549.0,57079.0,1975,26352.0,19020,0.026969451663755306,0.19205586025272414,0.11864258308659928,0.5810929153165776
59935.0,264900.0,1303.0,9713.0,1959,3992.0,19021,0.008371385083713823,0.11462914101436529,0.14568104602079687,0.6761320030698388
45372.0,124400.0,1112.0,3882.0,1953,1279.0,19022,0.0935412026726058,0.13622074746769122,0.13987635239567234,0.47297297297297297
48962.0,117200.0,1240.0,22636.0,1949,8021.0,19023,0.07558587303333697,0.08844059751500769,0.2693055310125464,0.5172577957629136
183586.0,606000.0,2894.0,7417.0,1984,2739.0,19025,0.010984987184181616,0.3501122754491018,0.014561143319401375,0.7845242502776749
89079.0,243000.0,1316.0,32749.0,1949,14988.0,19026,0.05475335336802756,0.2878372401592216,0.07881156676539741,0.667416253101737
105190.0,348700.0,1439.0,20412.0,1953,8732.0,19027,0.015555555555555545,0.2396711344479757,0.08475406623554772,0.6388261851015802
49966.0,186300.0,1340.0,3970.0,1955,1633.0,19029,0.06970649895178194,0.128391793514229,0.18967254408060452,0.636056338028169
92411.0,344300.0,1259.0,12310.0,1964,5301.0,19030,0.018193224592220836,0.1494704662081013,0.07717303005686434,0.7674121405750799
143323.0,519000.0,1377.0,5166.0,1959,1532.0,19031,0.0,0.29745275267050125,0.06755710414247,0.8058679706601467
58899.0,140000.0,1363.0,6748.0,1960,2632.0,19032,0.09385903698534548,0.16143911439114392,0.17071724955542383,0.725837504813246
102313.0,264300.0,1284.0,7614.0,1957,3641.0,19033,0.05523937060595918,0.24148550724637682,0.112949829261886,0.8008504606661941
164531.0,611400.0,1523.0,7084.0,1968,2569.0,19034,0.04936854190585538,0.2927400468384075,0.06705251270468662,0.7648953301127214
250001.0,1388300.0,3501.0,3779.0,1969,1084.0,19035,0.030626780626780592,0.2613506295307135,0.009261709446943637,0.8434974283614989
76184.0,191700.0,1268.0,13349.0,1956,6515.0,19036,0.05325218714340052,0.160078405749755,0.11341673533598022,0.7667738047408598
113464.0,387800.0,1407.0,32157.0,1952,12916.0,19038,0.02153250904197157,0.29333456596098734,0.05868084709394533,0.8426029399123184
